Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Tanzania, United Republic of,Tanzania,2002,Earths,0.0318015120063878,0.0386151320590561,0.222439798784237,0.0512970563744266,0.151756050313464,0.215875770888368,0.71178532042594,3A,TZ
Tanzania, United Republic of,Tanzania,2003,Earths,0.0251718865222579,0.041752304551025,0.170062404714304,0.0537867417071956,0.151258607756617,0.232858498404804,0.674890443656205,3A,TZ
Tanzania, United Republic of,Tanzania,2004,Earths,0.0277415141818552,0.0482614800669463,0.201645310509414,0.0518588118127491,0.146586094796007,0.20278661612137,0.678879827488344,3A,TZ
Tanzania, United Republic of,Tanzania,2005,Earths,0.0273859852524265,0.0560611797053221,0.194898043943513,0.0638929378828905,0.14592125562678,0.207375795257609,0.69553519766854,3A,TZ
Tanzania, United Republic of,Tanzania,2006,Earths,0.0285804766234774,0.0600281509099912,0.206416887671179,0.0518409870419485,0.146222210932229,0.208874478125483,0.701963191304307,3A,TZ
Tanzania, United Republic of,Tanzania,2007,Earths,0.0317932062174101,0.059014349370639,0.22608450166914,0.054589069456502,0.140474322681492,0.203949417384927,0.715904866780114,3A,TZ
Tanzania, United Republic of,Tanzania,2008,Earths,0.026700366398294,0.0733916701252641,0.190310033522085,0.0475620450190549,0.138214542565856,0.193526493617005,0.669705151247561,3A,TZ
Tanzania, United Republic of,Tanzania,2009,Earths,0.0271193313957077,0.0639556408731565,0.195102293040174,0.0539605123876358,0.136705422288121,0.205041234993015,0.68188443497781,3A,TZ
Tanzania, United Republic of,Tanzania,2010,Earths,0.0312064575774467,0.0714738356587956,0.224423114039594,0.0533896456113085,0.135104486000306,0.191557200755602,0.707154739643055,3A,TZ
Tanzania, United Republic of,Tanzania,2011,Earths,0.0335988827551466,0.0813589302236684,0.245864822276669,0.05109633425202,0.132979014191933,0.200033227321631,0.744931211021067,3A,TZ
Tanzania, United Republic of,Tanzania,2012,Earths,0.0350330156330765,0.0948426589855154,0.273458385647853,0.055863074714903,0.134386675188155,0.196690875364864,0.790274685534366,3A,TZ
Tanzania, United Republic of,Tanzania,2013,Earths,0.0457589995919571,0.0932627994733253,0.34524339346226,0.0520656997608966,0.131958371249711,0.190655841733392,0.858945105271544,3A,TZ
Tanzania, United Republic of,Tanzania,2014,Earths,0.049812681620649,0.0979458208361409,0.364218392621102,0.0437493201164335,0.130100148496336,0.186186343412038,0.872012707102702,3A,TZ
