Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Korea, Republic of,South Korea,2004,Earths,0.037698228154025,2.21930452599032,0.331921449117589,0.270752700415174,0.156890301603004,0.0467801682053797,3.06334737348549,3A,KR
Korea, Republic of,South Korea,2005,Earths,0.0363339240120345,2.27004898309406,0.346700526535942,0.274800731402003,0.148633177400213,0.050529328690916,3.12704667113517,3A,KR
Korea, Republic of,South Korea,2006,Earths,0.0359686545862456,2.32282164427195,0.357274201238631,0.316029804608941,0.155343456185544,0.0585521002083879,3.2459898610997,3A,KR
Korea, Republic of,South Korea,2007,Earths,0.0352571111387019,2.39474183670283,0.369476281641348,0.308015785817484,0.172346126977313,0.0602120992731575,3.34004924155083,3A,KR
Korea, Republic of,South Korea,2008,Earths,0.0379045021187685,2.40044443128033,0.387658412167323,0.281470084351645,0.154038680171097,0.0564452273449721,3.31796133743414,3A,KR
Korea, Republic of,South Korea,2009,Earths,0.0391110052523796,2.2878176405857,0.388818202718602,0.287937843400556,0.131569780874648,0.0616078161733697,3.19686228900525,3A,KR
Korea, Republic of,South Korea,2010,Earths,0.0358988605014489,2.55735625988607,0.402164388699231,0.258997514715785,0.136771322031305,0.0715467369046873,3.46273508273853,3A,KR
Korea, Republic of,South Korea,2011,Earths,0.0349032066223431,2.59285592447198,0.418564165972524,0.254204255669448,0.128689050144914,0.0842098983085398,3.51342650118975,3A,KR
Korea, Republic of,South Korea,2012,Earths,0.0325908470083542,2.56649997437746,0.43315545559875,0.265800725116416,0.119553753553036,0.0734478604298153,3.49104861608383,3A,KR
Korea, Republic of,South Korea,2013,Earths,0.0351066183929358,2.54788547629073,0.425566708681445,0.249761630795245,0.122677276994912,0.0751541573401087,3.45615186849537,3A,KR
Korea, Republic of,South Korea,2014,Earths,0.0365962121048746,2.50813023798594,0.423827070934819,0.284634079691438,0.128953134221718,0.0753895221122587,3.45753025705105,3A,KR
