"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"","
"Canada,""CAN"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""46.59"",""46.41"",""46.91"",""48.91"",""52.26"",""51.93"",""52.08"",""53.4"",""52.69"",""54.53"",""54.36"",""54.95"",""53.66"",""54.06"",""55.33"",""57.94"",""58.88"",""57.99"",""57.39"",""60.31"",""60.68"",""62.71"",""62.19"",""63.67"",""64.85"",""63.78"",""63.45"",""66.78"",""67.03"",""68.1"",""67.01"",""70.68"",""69.61"",""71.33"",""74.78"",""79.69"",""81.94"",""86.13"",""88.09"",""89.04"",""94.07"",""98.3"",""91.82"",""97.82"",""101.71"",""100.47"",""102.54"",""101.32"",""97.18"",""97.31"",""95.47"",""88.58"",""85.54"",""89.78"","""","""","""","
"Central African Republic,""CAF"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""14.34"",""14.76"",""15.24"",""15.51"",""16.28"",""16.47"",""18.39"",""17.41"",""19.07"",""20.24"",""21.26"",""21.46"",""22.23"",""23.11"",""25.01"",""24.61"",""26.19"",""28.5"",""27.68"",""30.56"",""32.6"",""35"",""38.51"",""39.19"",""42.29"",""44.15"",""50.97"",""54.1"",""55.37"",""56.31"",""59"",""62.66"",""64.52"",""65.3"",""68.18"",""80.57"",""73.2"",""74.5"",""75.52"",""91.41"",""83.8"",""87.77"",""85.2"",""91.46"",""102.8"",""105.75"",""111.47"",""112.63"",""115.03"",""120.93"",""125.68"",""127.71"",""128.35"",""105.39"","""","""","""","
"Chad,""TCD"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""52.43"",""54.41"",""54.3"",""54.89"",""55.06"",""58.14"",""57.03"",""57.77"",""55.74"",""56.76"",""56.66"",""58.59"",""50.42"",""45.38"",""50.91"",""54.36"",""56.33"",""61.48"",""65.41"",""67.2"",""68.63"",""70.16"",""67.72"",""53.34"",""55.09"",""65.94"",""68.78"",""71.01"",""72.63"",""74.33"",""77.21"",""79.31"",""75.53"",""75.8"",""79.79"",""81.34"",""91.12"",""91.22"",""91.44"",""90.19"",""91.94"",""94.2"",""96.27"",""98.24"",""99.73"",""102.03"",""105.97"",""107.76"",""110.31"",""113.08"",""113.28"",""114.45"",""115.16"",""113.16"","""","""","""","
"Chile,""CHL"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""25.19"",""26.66"",""28.13"",""26.16"",""28.61"",""30.62"",""31.03"",""34.68"",""35.57"",""37.17"",""32.11"",""26.78"",""26.53"",""37.05"",""39.69"",""37.71"",""35.93"",""35.79"",""37.62"",""40.33"",""44.87"",""44.07"",""42.44"",""40.78"",""40.4"",""42.3"",""43.96"",""46.87"",""50.88"",""55.39"",""55.98"",""57.66"",""63.47"",""68.95"",""73.38"",""75.65"",""79.55"",""82.42"",""80.76"",""83.29"",""89.2"",""87.03"",""88.23"",""94.68"",""97.76"",""107.56"",""109.29"",""113.58"",""108.74"",""108.41"",""112.88"",""118.09"",""112.36"",""110.56"","""","""","""","
"China,""CHN"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""4.32"",""4.88"",""6.64"",""8.05"",""8.97"",""9.62"",""10.05"",""10.01"",""9.93"",""9.95"",""11.18"",""12.2"",""12.4"",""12.49"",""12.94"",""12.93"",""13.11"",""14.19"",""16.63"",""18.6"",""19.36"",""20.67"",""21.54"",""24.89"",""27.34"",""28.91"",""31.56"",""35.27"",""37.15"",""40.11"",""44.23"",""48.06"",""53"",""59.3"",""64.96"",""68.44"",""70.85"",""76.34"",""79.29"",""84.03"",""85.28"",""88.07"",""92.96"",""95.81"",""100.34"",""103.85"",""107.69"",""111.92"",""115.77"",""119.11"",""119.84"",""124.77"",""126.55"",""124.42"","""","""","""","
"Colombia,""COL"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""28.45"",""30.28"",""31.15"",""32.01"",""33.08"",""31.69"",""31.88"",""32.64"",""33.94"",""36.22"",""39.15"",""38.03"",""37.07"",""38.73"",""41.88"",""46.23"",""46.25"",""45.68"",""48.37"",""48.19"",""51.24"",""51.39"",""48.3"",""50.94"",""51.72"",""53.42"",""54.32"",""59.71"",""64.17"",""69.1"",""71.38"",""67.28"",""69.34"",""73.18"",""79.65"",""79.72"",""81.45"",""85"",""82.33"",""86.1"",""87.92"",""89.01"",""89.27"",""95"",""98.43"",""106.56"",""108.63"",""116.23"",""106.18"",""105.99"",""110.25"",""117.78"",""121.46"",""118.39"","""","""","""","
"Comoros,""COM"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""53.07"",""56.94"",""60.82"",""64.64"",""68.44"",""72.38"",""72.2"",""75.39"",""76.7"",""76.82"",""80.11"",""88.29"",""94.55"",""98.09"",""101.19"",""105.44"",""108.47"",""112.2"",""96.9"",""95.74"",""94.63"",""94.44"",""93.7"",""94.15"",""92.35"",""88.15"",""91.26"",""94.5"",""96.23"",""92.61"",""94.33"",""95.97"",""98.32"",""100.26"",""98.68"",""98.58"",""93.92"",""99.13"",""102.93"",""99"",""97.49"",""97.98"",""97.2"",""98.68"",""99.47"",""101.85"",""103.72"",""107.16"",""111.84"",""115.14"",""111.92"",""112.92"",""113.01"",""112.41"","""","""","""","
"Congo, Dem. Rep.,""COD"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""81.19"",""81.54"",""81.69"",""83.16"",""78.56"",""78.68"",""79.23"",""79.4"",""79.81"",""81.41"",""76.31"",""76.19"",""81.46"",""81.99"",""82.18"",""82.77"",""82.9"",""81.16"",""82.43"",""82.46"",""83.44"",""84.38"",""85.89"",""87.66"",""89.6"",""92.31"",""95.29"",""97"",""99.96"",""99.4"",""96.19"",""100.2"",""101.21"",""102.52"",""100.53"",""101.95"",""104.25"",""104.91"",""102.93"",""101.41"",""99.77"",""97.92"",""99.13"",""99.52"",""100.16"",""100.31"",""100.35"",""100.83"",""102.84"",""115.86"",""119.6"",""120.59"",""121.18"",""59.41"","""","""","""","
"Congo, Rep.,""COG"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""26.55"",""27.23"",""28.36"",""28.64"",""28.54"",""28.6"",""28.22"",""29.21"",""30.34"",""31.3"",""33"",""33.38"",""33.45"",""33.83"",""34.77"",""37"",""37.15"",""40.88"",""42.71"",""42.32"",""43.61"",""44.91"",""45.99"",""46.28"",""47.61"",""49.3"",""50.05"",""50.39"",""50.12"",""51.48"",""52.31"",""53.62"",""55.02"",""56.01"",""57.09"",""58.08"",""60.02"",""65.44"",""67.92"",""67.23"",""67.24"",""74.8"",""75.55"",""88.33"",""101.23"",""110.44"",""119.24"",""128.12"",""133.26"",""157.5"",""162.89"",""163.78"",""164.26"",""45.88"","""","""","""","
"Costa Rica,""CRI"",""Livestock production index (2004-2006 = 100)"",""AG.PRD.LVSK.XD"","""",""20.23"",""19.48"",""22.47"",""23.92"",""23.5"",""21.59"",""23.19"",""26.55"",""27.99"",""29.96"",""32.14"",""33.25"",""33.46"",""35.78"",""43.85"",""50.28"",""52.09"",""49.43"",""53.47"",""52.08"",""53.59"",""48.05"",""50.23"",""53.45"",""62.47"",""62.21"",""65.15"",""64.68"",""66.38"",""71.08"",""75.95"",""72.93"",""73.05"",""80.95"",""86.51"",""86.24"",""83.65"",""85.17"",""91.35"",""91.35"",""91.63"",""91.42"",""93.63"",""94.12"",""102.44"",""103.44"",""110.3"",""114"",""118.31"",""120.47"",""121.45"",""122.29"",""123.21"",""125.57"","""","""","""","
