"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"","
"Canada,""CAN"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Central African Republic,""CAF"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""30000"",""420000"",""1140000"",""1980000"",""16790000"",""15780000"",""15660000"",""20570000"",""17290000"",""19810000"",""14380000"",""15550000"",""25650000"",""25600000"",""36580000"",""54750000"",""38690000"",""44890000"",""50950000"",""83360000"",""110120000"",""101200000"",""89460000"",""92360000"",""131690000"",""103850000"",""135140000"",""180010000"",""204690000"",""188760000"",""248890000"",""173440000"",""177650000"",""171740000"",""167560000"",""167780000"",""169130000"",""91550000"",""120620000"",""118760000"",""75900000"",""76210000"",""60010000"",""51500000"",""110060000"",""88970000"",""133590000"",""180010000"",""260370000"",""241140000"",""260980000"",""268770000"",""228020000"",""202820000"",""611000000"",""486730000"",""499660000"","""","
"Chad,""TCD"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""30000"",""3260000"",""5520000"",""5560000"",""16550000"",""18270000"",""19010000"",""19830000"",""21720000"",""23750000"",""22350000"",""30410000"",""30790000"",""45280000"",""78480000"",""66730000"",""60880000"",""81600000"",""123150000"",""84740000"",""34990000"",""59560000"",""64150000"",""87430000"",""111410000"",""179050000"",""160310000"",""201790000"",""260690000"",""250570000"",""310580000"",""262310000"",""236700000"",""223470000"",""212290000"",""235020000"",""295780000"",""227960000"",""174440000"",""187930000"",""131330000"",""188600000"",""229250000"",""251990000"",""332080000"",""386440000"",""290730000"",""367980000"",""441810000"",""558330000"",""490160000"",""457660000"",""475130000"",""459340000"",""391930000"",""606650000"",""624460000"","""","
"Chile,""CHL"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""13010000"",""117040000"",""132880000"",""141890000"",""131960000"",""112850000"",""135080000"",""102300000"",""84860000"",""95150000"",""72360000"",""47900000"",""49700000"",""48730000"",""23600000"",""126910000"",""7300000"",""10600000"",""7160000"",""-27890000"",""-10550000"",""-7250000"",""-8840000"",""100000"",""2250000"",""40010000"",""-5150000"",""21310000"",""44330000"",""61690000"",""103540000"",""120860000"",""131290000"",""173970000"",""150420000"",""156890000"",""195700000"",""129380000"",""106450000"",""70020000"",""48970000"",""59020000"",""-6690000"",""80480000"",""54400000"",""170410000"",""99240000"",""108680000"",""106450000"",""79190000"",""188540000"",""167420000"",""128080000"",""80560000"",""245580000"",""54330000"",""178370000"","""","
"China,""CHN"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""16850000"",""65500000"",""475900000"",""523380000"",""668800000"",""797480000"",""938750000"",""1095220000"",""1377940000"",""1919060000"",""2070830000"",""2032370000"",""1932580000"",""3002030000"",""3218680000"",""3149010000"",""3481070000"",""2655900000"",""2060830000"",""2456880000"",""2407000000"",""1749020000"",""1497660000"",""1511520000"",""1361550000"",""1710580000"",""1799290000"",""1272250000"",""1457520000"",""1317730000"",""1153980000"",""671890000"",""-602940000"",""-180530000"",""-656550000"",""-947070000"",""-332270000"",""-791080000"","""","
"Colombia,""COL"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""-11430000"",""45500000"",""46590000"",""74740000"",""54600000"",""36940000"",""92830000"",""108880000"",""191820000"",""120810000"",""159890000"",""129770000"",""119580000"",""147230000"",""106440000"",""82510000"",""75100000"",""48310000"",""70670000"",""53730000"",""89820000"",""101230000"",""95940000"",""85430000"",""87600000"",""61080000"",""62920000"",""77450000"",""62500000"",""67380000"",""88540000"",""113390000"",""232840000"",""84640000"",""75570000"",""170130000"",""188060000"",""194170000"",""167160000"",""302080000"",""186650000"",""383880000"",""442460000"",""803190000"",""519410000"",""625020000"",""989800000"",""726840000"",""976420000"",""1054990000"",""673830000"",""1017690000"",""764250000"",""857490000"",""1224170000"",""1355860000"",""1106670000"","""","
"Comoros,""COM"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"","""","""","""","""","""","""",""6100000"",""9700000"",""7850000"",""6360000"",""7890000"",""8820000"",""10210000"",""17620000"",""27340000"",""21560000"",""25260000"",""12090000"",""13440000"",""19580000"",""43250000"",""46370000"",""38070000"",""37630000"",""42680000"",""47130000"",""45930000"",""54070000"",""51220000"",""44070000"",""44880000"",""63300000"",""47870000"",""48620000"",""38700000"",""41600000"",""39200000"",""30200000"",""40620000"",""22090000"",""19310000"",""27670000"",""27580000"",""24610000"",""25880000"",""23140000"",""32000000"",""45050000"",""42040000"",""50780000"",""69910000"",""55350000"",""101610000"",""81230000"",""74950000"",""65780000"",""54610000"","""","
"Congo, Dem. Rep.,""COD"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""82090000"",""91160000"",""120970000"",""111500000"",""127020000"",""142070000"",""93110000"",""93800000"",""76660000"",""83750000"",""89360000"",""107270000"",""121690000"",""138920000"",""180090000"",""258080000"",""193120000"",""259600000"",""315640000"",""415360000"",""431230000"",""392150000"",""346470000"",""310300000"",""300320000"",""305360000"",""421560000"",""673730000"",""551730000"",""730110000"",""895790000"",""475280000"",""268520000"",""177820000"",""244810000"",""194750000"",""166160000"",""157880000"",""127020000"",""135510000"",""178440000"",""246640000"",""1176170000"",""5417030000"",""1919150000"",""1881800000"",""2197240000"",""1348270000"",""1766900000"",""2362350000"",""3483650000"",""5526460000"",""2846170000"",""2584010000"",""2400020000"",""2599040000"",""2107440000"","""","
"Congo, Rep.,""COG"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""20000"",""190000"",""3070000"",""5650000"",""17760000"",""15850000"",""25180000"",""18800000"",""21370000"",""17170000"",""15390000"",""17170000"",""23100000"",""26620000"",""37820000"",""55930000"",""72640000"",""48130000"",""80260000"",""90150000"",""91150000"",""80440000"",""91940000"",""107350000"",""96520000"",""69020000"",""107230000"",""137530000"",""86600000"",""90520000"",""217160000"",""133270000"",""115000000"",""124360000"",""363850000"",""126860000"",""431290000"",""268670000"",""64990000"",""140540000"",""32150000"",""73890000"",""57130000"",""69280000"",""115810000"",""1425550000"",""258300000"",""116320000"",""486630000"",""283970000"",""1315090000"",""261240000"",""140130000"",""150990000"",""106180000"",""88800000"",""87840000"","""","
"Costa Rica,""CRI"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""3590000"",""6050000"",""9300000"",""10120000"",""13960000"",""15510000"",""14130000"",""14920000"",""11910000"",""16510000"",""15010000"",""16500000"",""18620000"",""23310000"",""23010000"",""30030000"",""24340000"",""25190000"",""50610000"",""55210000"",""64430000"",""54300000"",""79910000"",""251510000"",""217060000"",""279290000"",""194580000"",""227770000"",""187500000"",""226130000"",""226980000"",""174060000"",""141880000"",""101250000"",""77010000"",""32090000"",""-10410000"",""-7070000"",""18840000"",""-8390000"",""13200000"",""3140000"",""3150000"",""29200000"",""14870000"",""26220000"",""22120000"",""55150000"",""69410000"",""106120000"",""95070000"",""31280000"",""28460000"",""32820000"",""54550000"",""111300000"",""100720000"","""","
"Cote d'Ivoire,""CIV"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""130000"",""3370000"",""9000000"",""8650000"",""39010000"",""38620000"",""35950000"",""34020000"",""44840000"",""49660000"",""52580000"",""51070000"",""48280000"",""63320000"",""75620000"",""99680000"",""107450000"",""103950000"",""129550000"",""159920000"",""209800000"",""123050000"",""136430000"",""155320000"",""122990000"",""117360000"",""174420000"",""240480000"",""424730000"",""394560000"",""686400000"",""629900000"",""755700000"",""763630000"",""1593700000"",""1212440000"",""964770000"",""447000000"",""967270000"",""447780000"",""350920000"",""186080000"",""1067500000"",""253700000"",""160710000"",""91280000"",""247140000"",""171080000"",""584630000"",""2403010000"",""845310000"",""1437710000"",""2908350000"",""1273460000"",""925040000"",""653060000"",""658490000"","""","
"Cuba,""CUB"",""Net official development assistance received (current US$)"",""DT.ODA.ODAT.CD"",""230000"",""190000"",""40000"",""-170000"",""440000"",""580000"",""730000"",""740000"",""650000"",""1310000"",""1820000"",""2480000"",""3570000"",""5190000"",""15230000"",""19630000"",""45660000"",""44930000"",""47990000"",""47900000"",""45280000"",""27370000"",""35100000"",""36840000"",""35770000"",""41990000"",""41780000"",""48880000"",""61260000"",""56840000"",""51810000"",""36930000"",""24800000"",""43900000"",""47120000"",""63630000"",""57220000"",""65400000"",""80150000"",""59390000"",""45070000"",""54650000"",""62110000"",""76540000"",""99470000"",""90140000"",""82210000"",""96550000"",""125510000"",""112560000"",""132450000"",""87280000"",""85760000"",""99460000"",""261540000"",""552730000"",""2677750000"","""","
